device_id,device_type,timestamp,src_ip,dst_ip,protocol,dst_port,bytes_out,packets_out,duration,direction,label
CCTV_01,CCTV,2024-01-15 00:00:00,192.168.1.10,192.168.1.100,RTSP,554,107450,97,60,outbound,normal
Access_01,AccessController,2024-01-15 00:00:00,192.168.1.20,192.168.1.50,HTTPS,443,2658,1,2,outbound,normal
Router_01,Router,2024-01-15 00:00:00,192.168.1.1,8.8.8.8,DNS,53,8058,17,1,outbound,normal
Router_01,Router,2024-01-15 00:01:00,192.168.1.1,8.8.8.8,DNS,53,6037,7,1,outbound,normal
CCTV_01,CCTV,2024-01-15 00:01:00,192.168.1.10,192.168.1.100,RTSP,554,109715,122,60,outbound,normal
CCTV_01,CCTV,2024-01-15 00:02:00,192.168.1.10,192.168.1.100,RTSP,554,96487,96,60,outbound,normal
Router_01,Router,2024-01-15 00:02:00,192.168.1.1,8.8.4.4,DNS,53,8214,13,1,outbound,normal
Router_01,Router,2024-01-15 00:03:00,192.168.1.1,8.8.8.8,DNS,53,9252,14,1,outbound,normal
CCTV_01,CCTV,2024-01-15 00:03:00,192.168.1.10,192.168.1.100,RTSP,554,123688,111,60,outbound,normal
Router_01,Router,2024-01-15 00:04:00,192.168.1.1,8.8.8.8,DNS,53,8410,6,1,outbound,normal
CCTV_01,CCTV,2024-01-15 00:04:00,192.168.1.10,192.168.1.100,RTSP,554,92957,108,60,outbound,normal
CCTV_01,CCTV,2024-01-15 00:05:00,192.168.1.10,192.168.1.100,RTSP,554,93048,93,60,outbound,normal
Router_01,Router,2024-01-15 00:05:00,192.168.1.1,8.8.8.8,DNS,53,11776,14,1,outbound,normal
Access_01,AccessController,2024-01-15 00:05:00,192.168.1.20,192.168.1.50,HTTPS,443,1388,3,2,outbound,normal
Router_01,Router,2024-01-15 00:06:00,192.168.1.1,8.8.8.8,DNS,53,9395,10,1,outbound,normal
CCTV_01,CCTV,2024-01-15 00:06:00,192.168.1.10,192.168.1.100,RTSP,554,103629,71,60,outbound,normal
Router_01,Router,2024-01-15 00:07:00,192.168.1.1,8.8.8.8,DNS,53,8616,8,1,outbound,normal
CCTV_01,CCTV,2024-01-15 00:07:00,192.168.1.10,192.168.1.100,RTSP,554,74126,91,60,outbound,normal
CCTV_01,CCTV,2024-01-15 00:08:00,192.168.1.10,192.168.1.100,RTSP,554,84807,104,60,outbound,normal
Router_01,Router,2024-01-15 00:08:00,192.168.1.1,8.8.4.4,DNS,53,8904,13,1,outbound,normal
CCTV_01,CCTV,2024-01-15 00:09:00,192.168.1.10,192.168.1.100,RTSP,554,86379,78,60,outbound,normal
Router_01,Router,2024-01-15 00:09:00,192.168.1.1,8.8.8.8,DNS,53,8058,18,1,outbound,normal
Router_01,Router,2024-01-15 00:10:00,192.168.1.1,8.8.8.8,DNS,53,5534,11,1,outbound,normal
Access_01,AccessController,2024-01-15 00:10:00,192.168.1.20,192.168.1.50,HTTPS,443,1590,5,2,outbound,normal
CCTV_01,CCTV,2024-01-15 00:10:00,192.168.1.10,192.168.1.100,RTSP,554,121984,96,60,outbound,normal
CCTV_01,CCTV,2024-01-15 00:11:00,192.168.1.10,192.168.1.100,RTSP,554,101012,78,60,outbound,normal
